L,r,allocation,hybrid_w,episode_length,episodes,steady_mean_fC,final_fC
15,2.0,labor,0.5,150,5,1.0,1.0
15,2.5,labor,0.5,150,5,1.0,1.0
15,3.0,labor,0.5,150,5,1.0,1.0
15,3.5,labor,0.5,150,5,1.0,1.0
15,4.0,labor,0.5,150,5,1.0,1.0
15,4.5,labor,0.5,150,5,1.0,1.0
32,2.0,labor,0.5,150,5,1.0,1.0
32,2.5,labor,0.5,150,5,1.0,1.0
32,3.0,labor,0.5,150,5,1.0,1.0
32,3.5,labor,0.5,150,5,1.0,1.0
32,4.0,labor,0.5,150,5,1.0,1.0
32,4.5,labor,0.5,150,5,1.0,1.0
50,2.0,labor,0.5,150,5,1.0,1.0
50,2.5,labor,0.5,150,5,1.0,1.0
50,3.0,labor,0.5,150,5,1.0,1.0
50,3.5,labor,0.5,150,5,1.0,1.0
50,4.0,labor,0.5,150,5,1.0,1.0
50,4.5,labor,0.5,150,5,1.0,1.0
15,2.0,equal,0.5,150,5,0.0,0.0
15,2.5,equal,0.5,150,5,0.0,0.0
15,3.0,equal,0.5,150,5,0.0,0.0
15,3.5,equal,0.5,150,5,0.0,0.0
15,4.0,equal,0.5,150,5,0.18198516964912415,0.18488888442516327
15,4.5,equal,0.5,150,5,0.82245934009552,0.8115555047988892
32,2.0,equal,0.5,150,5,0.0,0.0
32,2.5,equal,0.5,150,5,0.0,0.0
32,3.0,equal,0.5,150,5,0.0,0.0
32,3.5,equal,0.5,150,5,0.0,0.0
32,4.0,equal,0.5,150,5,0.2912369966506958,0.30878907442092896
32,4.5,equal,0.5,150,5,0.7852213978767395,0.7835937738418579
50,2.0,equal,0.5,150,5,0.0,0.0
50,2.5,equal,0.5,150,5,0.0,0.0
50,3.0,equal,0.5,150,5,0.0,0.0
50,3.5,equal,0.5,150,5,0.0,0.0
50,4.0,equal,0.5,150,5,0.3589973449707031,0.3736799657344818
50,4.5,equal,0.5,150,5,0.810485303401947,0.8194400072097778
