t,mean_fC
1,0.7455555200576782
2,0.5246666669845581
3,0.6497777700424194
4,0.4659999907016754
5,0.515999972820282
6,0.38155555725097656
7,0.41644445061683655
8,0.3108888566493988
9,0.3337777853012085
10,0.24400000274181366
11,0.25866666436195374
12,0.198888897895813
13,0.19555555284023285
14,0.15688888728618622
15,0.15111111104488373
16,0.12244443595409393
17,0.10911111533641815
18,0.09066666662693024
19,0.0837777704000473
20,0.06733333319425583
21,0.06066666916012764
22,0.052888888865709305
23,0.04599999636411667
24,0.03955555707216263
25,0.036444444209337234
26,0.03311111405491829
27,0.029333334416151047
28,0.030888888984918594
29,0.026222223415970802
30,0.02755555510520935
31,0.020888889208436012
32,0.020000001415610313
33,0.01577777788043022
34,0.013555554673075676
35,0.010222221724689007
36,0.01066666655242443
37,0.00844444427639246
38,0.006888888776302338
39,0.005111111328005791
40,0.004888888914138079
41,0.004444444552063942
42,0.004888888914138079
43,0.003555555595085025
44,0.0026666666381061077
45,0.002888888819143176
46,0.002444444689899683
47,0.002444444689899683
48,0.002222222276031971
49,0.002222222276031971
50,0.001999999862164259
51,0.0017777777975425124
52,0.001999999862164259
53,0.001555555616505444
54,0.0017777777975425124
55,0.0008888888987712562
56,0.0011111111380159855
57,0.0011111111380159855
58,0.001555555616505444
59,0.0013333333190530539
60,0.0013333333190530539
61,0.0008888888987712562
62,0.0008888888987712562
63,0.0004444444493856281
64,0.0004444444493856281
65,0.00022222222469281405
66,0.0004444444493856281
67,0.0004444444493856281
68,0.0006666666595265269
69,0.00022222222469281405
70,0.00022222222469281405
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
