L,r,allocation,hybrid_w,episode_length,episodes,steady_mean_fC,final_fC
15,1.5,labor,0.5,500,5,0.0,0.0
15,2.0,labor,0.5,500,5,0.0,0.0
15,2.5,labor,0.5,500,5,0.0,0.0
15,3.0,labor,0.5,500,5,0.0,0.0
15,3.5,labor,0.5,500,5,0.0,0.0
15,4.0,labor,0.5,500,5,0.0,0.0
15,4.5,labor,0.5,500,5,0.0,0.0
30,1.5,labor,0.5,500,5,0.0,0.0
30,2.0,labor,0.5,500,5,0.0,0.0
30,2.5,labor,0.5,500,5,0.0,0.0
30,3.0,labor,0.5,500,5,0.0,0.0
30,3.5,labor,0.5,500,5,0.0,0.0
30,4.0,labor,0.5,500,5,0.0,0.0
30,4.5,labor,0.5,500,5,0.0,0.0
50,1.5,labor,0.5,500,5,0.000640000042039901,0.0006399999838322401
50,2.0,labor,0.5,500,5,0.0,0.0
50,2.5,labor,0.5,500,5,0.0,0.0
50,3.0,labor,0.5,500,5,0.0,0.0
50,3.5,labor,0.5,500,5,0.0,0.0
50,4.0,labor,0.5,500,5,0.0,0.0
50,4.5,labor,0.5,500,5,0.0,0.0
15,1.5,equal,0.5,500,5,0.0,0.0
15,2.0,equal,0.5,500,5,0.0,0.0
15,2.5,equal,0.5,500,5,0.0,0.0
15,3.0,equal,0.5,500,5,0.0,0.0
15,3.5,equal,0.5,500,5,0.0,0.0
15,4.0,equal,0.5,500,5,0.0,0.0
15,4.5,equal,0.5,500,5,0.0,0.0
30,1.5,equal,0.5,500,5,0.0,0.0
30,2.0,equal,0.5,500,5,0.0,0.0
30,2.5,equal,0.5,500,5,0.0,0.0
30,3.0,equal,0.5,500,5,0.0,0.0
30,3.5,equal,0.5,500,5,0.0,0.0
30,4.0,equal,0.5,500,5,0.0,0.0
30,4.5,equal,0.5,500,5,0.0,0.0
50,1.5,equal,0.5,500,5,0.0,0.0
50,2.0,equal,0.5,500,5,0.0,0.0
50,2.5,equal,0.5,500,5,0.0,0.0
50,3.0,equal,0.5,500,5,0.0,0.0
50,3.5,equal,0.5,500,5,0.0,0.0
50,4.0,equal,0.5,500,5,0.0,0.0
50,4.5,equal,0.5,500,5,0.0,0.0
