L,r,alloc_mode,episode_length,num_repeat,tail_ratio,tail_steps,tail_mean_fC,tail_mean_fD,tail_mean_avg_R
25,2.0000,equal,150,10,0.15,22,0.0,1.0,1.8269918634607826e-05
25,2.0000,contrib,150,10,0.15,22,1.0,0.0,49.999968615445226
25,3.0000,equal,150,10,0.15,22,0.0,1.0,2.226332991416381e-05
25,3.0000,contrib,150,10,0.15,22,1.0,0.0,99.99992544000798
25,4.0000,equal,150,10,0.15,22,0.0,1.0,0.0005971523516398685
25,4.0000,contrib,150,10,0.15,22,1.0,0.0,149.99987376819956
25,4.5000,equal,150,10,0.15,22,0.5073527287353169,0.49264727803793823,87.1361014626243
25,4.5000,contrib,150,10,0.15,22,1.0,0.0,174.99986128373578
30,2.0000,equal,150,10,0.15,22,0.0,1.0,1.8344813001518062e-05
30,2.0000,contrib,150,10,0.15,22,1.0,0.0,49.99997069618919
30,3.0000,equal,150,10,0.15,22,0.0,1.0,2.2489611369151547e-05
30,3.0000,contrib,150,10,0.15,22,1.0,0.0,99.99992786754261
30,4.0000,equal,150,10,0.15,22,0.0,1.0,0.2224669891663573
30,4.0000,contrib,150,10,0.15,22,1.0,0.0,149.9998744617809
30,4.5000,equal,150,10,0.15,22,0.5369949422099374,0.4630050604993647,93.0485128922896
30,4.5000,contrib,150,10,0.15,22,1.0,0.0,174.99986059015447
